species,cultivar,repetition,split,iqr,rmse,mean_bias,rpiq_adj
Almond,Bruantine,3,Calibration,11,3.2,0.2,3.4
Almond,Bruantine,3,Validation,11,12.8,8.5,0.9
Almond,Bruantine,4,Calibration,11,6.4,-0.2,1.7
Almond,Bruantine,4,Validation,11,9.1,3.0,1.2
Almond,Bruantine,5,Calibration,11,6.8,0.1,1.6
Almond,Bruantine,5,Validation,11,9.7,-6.2,1.1
Almond,Bruantine,6,Calibration,11,7.5,0.7,1.5
Almond,Bruantine,6,Validation,11,5.2,-2.0,2.1
Almond,Bruantine,7,Calibration,11,7.0,-0.3,1.6
Almond,Bruantine,7,Validation,11,8.9,-6.0,1.2
Almond,Bruantine,8,Calibration,11,3.8,0.0,2.9
Almond,Bruantine,8,Validation,11,14.8,2.6,0.7
Almond,Bruantine,9,Calibration,11,7.3,0.6,1.5
Almond,Bruantine,9,Validation,11,7.6,-1.8,1.4
Almond,Bruantine,10,Calibration,11,4.8,0.6,2.3
Almond,Bruantine,10,Validation,11,12.1,1.4,0.9
Almond,Cavaliera,1,Calibration,11.5,7.4,0.0,1.6
Almond,Cavaliera,1,Validation,11.5,13.3,8.3,0.9
Almond,Cavaliera,2,Calibration,11.5,9.3,-0.1,1.2
Almond,Cavaliera,2,Validation,11.5,5.1,-0.3,2.2
Almond,Cavaliera,3,Calibration,11.5,5.5,1.0,2.1
Almond,Cavaliera,3,Validation,11.5,12.6,-1.2,0.9
Almond,Cavaliera,4,Calibration,11.5,6.0,0.8,1.9
Almond,Cavaliera,4,Validation,11.5,16.8,-4.8,0.7
Almond,Cavaliera,5,Calibration,11.5,7.9,0.3,1.5
Almond,Cavaliera,5,Validation,11.5,11.0,-9.6,1.0
Almond,Cavaliera,6,Calibration,11.5,6.3,-0.6,1.8
Almond,Cavaliera,6,Validation,11.5,14.6,0.1,0.8
Almond,Cavaliera,7,Calibration,11.5,8.9,-0.3,1.3
Almond,Cavaliera,7,Validation,11.5,5.9,-5.0,1.9
Almond,Cavaliera,8,Calibration,11.5,6.0,0.1,1.9
Almond,Cavaliera,8,Validation,11.5,15.3,9.7,0.8
Almond,Cavaliera,9,Calibration,11.5,8.0,0.5,1.4
Almond,Cavaliera,9,Validation,11.5,9.5,-0.2,1.2
Almond,Cavaliera,10,Calibration,11.5,8.0,-0.1,1.4
Almond,Cavaliera,10,Validation,11.5,8.5,0.4,1.3
Almond,Cristomorto,1,Calibration,9,8.6,-0.3,1.0
Almond,Cristomorto,1,Validation,9,6.6,-0.3,1.4
Almond,Cristomorto,2,Calibration,9,7.7,-0.5,1.2
Almond,Cristomorto,2,Validation,9,10.3,0.8,0.9
Almond,Cristomorto,3,Calibration,9,7.6,-0.3,1.2
Almond,Cristomorto,3,Validation,9,7.2,-3.7,1.2
Almond,Cristomorto,4,Calibration,9,8.1,-0.8,1.1
Almond,Cristomorto,4,Validation,9,9.4,2.7,1.0
Almond,Cristomorto,5,Calibration,9,8.4,-0.5,1.1
Almond,Cristomorto,5,Validation,9,4.8,-3.5,1.9
Almond,Cristomorto,6,Calibration,9,8.4,0.1,1.1
Almond,Cristomorto,6,Validation,9,8.3,-6.8,1.1
Almond,Cristomorto,7,Calibration,9,7.5,1.0,1.2
Almond,Cristomorto,7,Validation,9,13.1,3.1,0.7
Almond,Cristomorto,8,Calibration,9,5.9,-0.4,1.5
Almond,Cristomorto,8,Validation,9,12.7,4.2,0.7
Almond,Cristomorto,9,Calibration,9,7.5,0.6,1.2
Almond,Cristomorto,9,Validation,9,12.2,-9.3,0.7
Almond,Cristomorto,10,Calibration,9,7.1,0.1,1.3
Almond,Cristomorto,10,Validation,9,10.2,-9.0,0.9
Almond,Desmayo,1,Calibration,9,1.8,-0.5,5.0
Almond,Desmayo,1,Validation,9,5.5,0.2,1.6
Almond,Desmayo,2,Calibration,9,3.3,-0.3,2.7
Almond,Desmayo,2,Validation,9,4.1,-0.4,2.2
Almond,Desmayo,3,Calibration,9,3.2,0.2,2.8
Almond,Desmayo,3,Validation,9,5.8,-4.2,1.6
Almond,Desmayo,4,Calibration,9,2.2,-0.5,4.2
Almond,Desmayo,4,Validation,9,7.0,0.5,1.3
Almond,Desmayo,5,Calibration,9,2.7,-0.5,3.4
Almond,Desmayo,5,Validation,9,5.2,1.7,1.7
Almond,Desmayo,6,Calibration,9,1.9,0.0,4.9
Almond,Desmayo,6,Validation,9,6.5,0.9,1.4
Almond,Desmayo,7,Calibration,9,2.3,0.4,3.9
Almond,Desmayo,7,Validation,9,7.8,0.4,1.2
Almond,Desmayo,8,Calibration,9,2.9,0.1,3.1
Almond,Desmayo,8,Validation,9,8.1,6.5,1.1
Almond,Desmayo,9,Calibration,9,3.3,0.1,2.7
Almond,Desmayo,9,Validation,9,4.0,0.6,2.3
Almond,Desmayo,10,Calibration,9,3.2,0.3,2.8
Almond,Desmayo,10,Validation,9,4.5,2.6,2.0
Almond,Dorée,1,Calibration,7,6.2,0.0,1.1
Almond,Dorée,1,Validation,7,5.6,-2.3,1.3
Almond,Dorée,2,Calibration,7,5.9,-0.2,1.2
Almond,Dorée,2,Validation,7,6.2,-1.7,1.1
Almond,Dorée,3,Calibration,7,5.9,-0.3,1.2
Almond,Dorée,3,Validation,7,6.8,-5.5,1.0
Almond,Dorée,4,Calibration,7,4.0,0.0,1.7
Almond,Dorée,4,Validation,7,10.0,6.3,0.7
Almond,Dorée,5,Calibration,7,5.4,-0.4,1.3
Almond,Dorée,5,Validation,7,6.4,-0.8,1.1
Almond,Dorée,6,Calibration,7,2.5,-0.3,2.8
Almond,Dorée,6,Validation,7,14.4,7.5,0.5
Almond,Dorée,7,Calibration,7,5.1,-0.1,1.4
Almond,Dorée,7,Validation,7,7.1,-3.6,1.0
Almond,Dorée,8,Calibration,7,5.1,0.1,1.4
Almond,Dorée,8,Validation,7,10.2,-0.5,0.7
Almond,Dorée,9,Calibration,7,3.0,-0.2,2.4
Almond,Dorée,9,Validation,7,14.2,5.0,0.5
Almond,Dorée,10,Calibration,7,5.9,0.0,1.2
Almond,Dorée,10,Validation,7,6.2,-1.3,1.1
Almond,Faggoussi,1,Calibration,10.5,5.4,0.2,1.9
Almond,Faggoussi,1,Validation,10.5,9.7,-3.7,1.1
Almond,Faggoussi,2,Calibration,10.5,3.5,0.2,3.0
Almond,Faggoussi,2,Validation,10.5,10.0,3.7,1.0
Almond,Faggoussi,3,Calibration,10.5,2.9,0.5,3.6
Almond,Faggoussi,3,Validation,10.5,9.4,3.7,1.1
Almond,Faggoussi,4,Calibration,10.5,2.8,0.2,3.8
Almond,Faggoussi,4,Validation,10.5,12.3,0.5,0.9
Almond,Faggoussi,5,Calibration,10.5,4.9,0.7,2.2
Almond,Faggoussi,5,Validation,10.5,7.2,-2.4,1.4
Almond,Faggoussi,6,Calibration,10.5,5.4,-0.1,1.9
Almond,Faggoussi,6,Validation,10.5,2.5,0.0,4.1
Almond,Faggoussi,7,Calibration,10.5,3.0,-0.3,3.4
Almond,Faggoussi,7,Validation,10.5,11.2,2.1,0.9
Almond,Faggoussi,8,Calibration,10.5,3.3,-0.1,3.2
Almond,Faggoussi,8,Validation,10.5,8.9,2.9,1.2
Almond,Faggoussi,9,Calibration,10.5,5.8,0.0,1.8
Almond,Faggoussi,9,Validation,10.5,8.7,3.1,1.2
Almond,Faggoussi,10,Calibration,10.5,5.2,-0.3,2.0
Almond,Faggoussi,10,Validation,10.5,3.5,-1.1,3.0
Almond,Fakhfekh,1,Calibration,10,8.2,0.2,1.2
Almond,Fakhfekh,1,Validation,10,5.8,-1.1,1.7
Almond,Fakhfekh,2,Calibration,10,7.5,0.8,1.3
Almond,Fakhfekh,2,Validation,10,10.0,-2.1,1.0
Almond,Fakhfekh,3,Calibration,10,6.5,1.2,1.6
Almond,Fakhfekh,3,Validation,10,12.5,6.4,0.8
Almond,Fakhfekh,4,Calibration,10,6.2,0.5,1.6
Almond,Fakhfekh,4,Validation,10,15.3,10.1,0.7
Almond,Fakhfekh,5,Calibration,10,8.1,0.7,1.2
Almond,Fakhfekh,5,Validation,10,8.9,2.8,1.1
Almond,Fakhfekh,6,Calibration,10,5.8,1.0,1.7
Almond,Fakhfekh,6,Validation,10,14.0,-7.6,0.7
Almond,Fakhfekh,7,Calibration,10,7.0,0.2,1.4
Almond,Fakhfekh,7,Validation,10,12.7,4.4,0.8
Almond,Fakhfekh,8,Calibration,10,7.9,0.0,1.3
Almond,Fakhfekh,8,Validation,10,5.4,-4.5,1.8
Almond,Fakhfekh,9,Calibration,10,6.2,-0.2,1.6
Almond,Fakhfekh,9,Validation,10,13.4,-1.0,0.7
Almond,Fakhfekh,10,Calibration,10,7.5,-0.6,1.3
Almond,Fakhfekh,10,Validation,10,11.6,-4.8,0.9
Almond,Fasciuneddu,1,Calibration,9,5.3,-0.2,1.7
Almond,Fasciuneddu,1,Validation,9,12.0,-0.5,0.7
Almond,Fasciuneddu,2,Calibration,9,7.7,-0.4,1.2
Almond,Fasciuneddu,2,Validation,9,7.4,-2.8,1.2
Almond,Fasciuneddu,3,Calibration,9,6.8,-0.4,1.3
Almond,Fasciuneddu,3,Validation,9,6.6,-4.3,1.4
Almond,Fasciuneddu,4,Calibration,9,6.1,-0.2,1.5
Almond,Fasciuneddu,4,Validation,9,9.2,0.4,1.0
Almond,Fasciuneddu,5,Calibration,9,4.5,0.4,2.0
Almond,Fasciuneddu,5,Validation,9,12.9,-0.6,0.7
Almond,Fasciuneddu,6,Calibration,9,4.3,-0.2,2.1
Almond,Fasciuneddu,6,Validation,9,13.3,8.1,0.7
Almond,Fasciuneddu,7,Calibration,9,4.3,0.4,2.1
Almond,Fasciuneddu,7,Validation,9,13.3,-8.3,0.7
Almond,Fasciuneddu,8,Calibration,9,5.0,0.2,1.8
Almond,Fasciuneddu,8,Validation,9,11.6,-4.0,0.8
Almond,Fasciuneddu,9,Calibration,9,4.7,-0.1,1.9
Almond,Fasciuneddu,9,Validation,9,12.6,-8.0,0.7
Almond,Fasciuneddu,10,Calibration,9,5.7,0.7,1.6
Almond,Fasciuneddu,10,Validation,9,8.5,2.7,1.1
Almond,Ferraduel,1,Calibration,10.75,3.1,-0.1,3.5
Almond,Ferraduel,1,Validation,10.75,10.4,4.5,1.0
Almond,Ferraduel,2,Calibration,10.75,1.9,-0.2,5.7
Almond,Ferraduel,2,Validation,10.75,11.2,4.9,1.0
Almond,Ferraduel,3,Calibration,10.75,6.0,-0.1,1.8
Almond,Ferraduel,3,Validation,10.75,3.8,0.4,2.9
Almond,Ferraduel,4,Calibration,10.75,5.9,-0.3,1.8
Almond,Ferraduel,4,Validation,10.75,4.7,-2.1,2.3
Almond,Ferraduel,5,Calibration,10.75,6.1,0.1,1.8
Almond,Ferraduel,5,Validation,10.75,4.1,-1.6,2.6
Almond,Ferraduel,6,Calibration,10.75,3.1,-0.3,3.5
Almond,Ferraduel,6,Validation,10.75,10.0,1.7,1.1
Almond,Ferraduel,7,Calibration,10.75,5.9,-0.1,1.8
Almond,Ferraduel,7,Validation,10.75,3.9,1.7,2.8
Almond,Ferraduel,8,Calibration,10.75,4.9,-0.3,2.2
Almond,Ferraduel,8,Validation,10.75,8.3,-7.0,1.3
Almond,Ferraduel,9,Calibration,10.75,4.8,-0.5,2.2
Almond,Ferraduel,9,Validation,10.75,8.2,-4.1,1.3
Almond,Ferraduel,10,Calibration,10.75,2.5,-0.1,4.3
Almond,Ferraduel,10,Validation,10.75,10.3,2.1,1.0
Almond,Ferragnes,1,Calibration,6,6.4,-0.4,0.9
Almond,Ferragnes,1,Validation,6,8.1,-1.9,0.7
Almond,Ferragnes,2,Calibration,6,7.0,-0.2,0.9
Almond,Ferragnes,2,Validation,6,7.4,-0.2,0.8
Almond,Ferragnes,3,Calibration,6,7.0,0.4,0.9
Almond,Ferragnes,3,Validation,6,6.6,2.9,0.9
Almond,Ferragnes,4,Calibration,6,6.2,0.5,1.0
Almond,Ferragnes,4,Validation,6,8.6,-0.7,0.7
Almond,Ferragnes,5,Calibration,6,6.0,0.4,1.0
Almond,Ferragnes,5,Validation,6,9.2,4.2,0.7
Almond,Ferragnes,6,Calibration,6,7.1,0.3,0.8
Almond,Ferragnes,6,Validation,6,6.2,-2.1,1.0
Almond,Ferragnes,7,Calibration,6,6.9,-0.2,0.9
Almond,Ferragnes,7,Validation,6,6.6,-3.3,0.9
Almond,Ferragnes,8,Calibration,6,6.7,0.6,0.9
Almond,Ferragnes,8,Validation,6,7.1,1.4,0.8
Almond,Ferragnes,9,Calibration,6,6.2,-0.2,1.0
Almond,Ferragnes,9,Validation,6,9.5,1.3,0.6
Almond,Ferragnes,10,Calibration,6,6.1,-0.1,1.0
Almond,Ferragnes,10,Validation,6,9.5,0.9,0.6
Almond,Fournat de Breznaud,1,Calibration,14.75,6.6,0.5,2.2
Almond,Fournat de Breznaud,1,Validation,14.75,9.2,-6.5,1.6
Almond,Fournat de Breznaud,2,Calibration,14.75,6.6,0.4,2.2
Almond,Fournat de Breznaud,2,Validation,14.75,6.9,1.6,2.1
Almond,Fournat de Breznaud,3,Calibration,14.75,7.8,0.2,1.9
Almond,Fournat de Breznaud,3,Validation,14.75,5.6,-1.3,2.6
Almond,Fournat de Breznaud,4,Calibration,14.75,7.0,0.0,2.1
Almond,Fournat de Breznaud,4,Validation,14.75,9.3,-2.7,1.6
Almond,Fournat de Breznaud,5,Calibration,14.75,4.5,0.6,3.3
Almond,Fournat de Breznaud,5,Validation,14.75,11.5,4.3,1.3
Almond,Fournat de Breznaud,6,Calibration,14.75,6.4,0.1,2.3
Almond,Fournat de Breznaud,6,Validation,14.75,7.9,-3.4,1.9
Almond,Fournat de Breznaud,7,Calibration,14.75,6.2,0.5,2.4
Almond,Fournat de Breznaud,7,Validation,14.75,8.1,-3.2,1.8
Almond,Fournat de Breznaud,8,Calibration,14.75,7.6,-0.2,1.9
Almond,Fournat de Breznaud,8,Validation,14.75,8.0,-5.7,1.8
Almond,Fournat de Breznaud,9,Calibration,14.75,7.1,0.2,2.1
Almond,Fournat de Breznaud,9,Validation,14.75,8.2,-5.8,1.8
Almond,Fournat de Breznaud,10,Calibration,14.75,6.3,0.0,2.3
Almond,Fournat de Breznaud,10,Validation,14.75,8.5,1.3,1.7
Almond,Garnghzel,1,Calibration,16,7.3,-0.3,2.2
Almond,Garnghzel,1,Validation,16,7.0,1.1,2.3
Almond,Garnghzel,2,Calibration,16,6.8,-1.3,2.3
Almond,Garnghzel,2,Validation,16,8.9,-1.2,1.8
Almond,Garnghzel,3,Calibration,16,7.6,0.5,2.1
Almond,Garnghzel,3,Validation,16,4.8,-0.6,3.3
Almond,Garnghzel,4,Calibration,16,7.5,-0.7,2.1
Almond,Garnghzel,4,Validation,16,7.8,-4.1,2.1
Almond,Garnghzel,5,Calibration,16,5.7,0.4,2.8
Almond,Garnghzel,5,Validation,16,9.4,1.7,1.7
Almond,Garnghzel,6,Calibration,16,5.3,-0.1,3.0
Almond,Garnghzel,6,Validation,16,11.2,3.5,1.4
Almond,Garnghzel,7,Calibration,16,6.8,-1.1,2.4
Almond,Garnghzel,7,Validation,16,9.2,-2.9,1.7
Almond,Garnghzel,8,Calibration,16,6.5,0.1,2.4
Almond,Garnghzel,8,Validation,16,9.0,2.1,1.8
Almond,Garnghzel,9,Calibration,16,7.0,-0.8,2.3
Almond,Garnghzel,9,Validation,16,9.2,-0.3,1.7
Almond,Garnghzel,10,Calibration,16,4.7,-0.1,3.4
Almond,Garnghzel,10,Validation,16,12.0,4.3,1.3
Almond,Genco Taronto,1,Calibration,6.75,4.4,-0.4,1.5
Almond,Genco Taronto,1,Validation,6.75,8.8,0.0,0.8
Almond,Genco Taronto,2,Calibration,6.75,6.2,-1.0,1.1
Almond,Genco Taronto,2,Validation,6.75,8.3,-2.5,0.8
Almond,Genco Taronto,3,Calibration,6.75,5.2,-0.7,1.3
Almond,Genco Taronto,3,Validation,6.75,7.8,-1.2,0.9
Almond,Genco Taronto,4,Calibration,6.75,4.6,-1.0,1.5
Almond,Genco Taronto,4,Validation,6.75,9.2,5.4,0.7
Almond,Genco Taronto,5,Calibration,6.75,2.5,-0.5,2.7
Almond,Genco Taronto,5,Validation,6.75,11.0,6.2,0.6
Almond,Genco Taronto,6,Calibration,6.75,6.0,-0.5,1.1
Almond,Genco Taronto,6,Validation,6.75,5.4,3.0,1.2
Almond,Genco Taronto,7,Calibration,6.75,5.7,0.3,1.2
Almond,Genco Taronto,7,Validation,6.75,8.2,1.0,0.8
Almond,Genco Taronto,8,Calibration,6.75,6.2,-0.8,1.1
Almond,Genco Taronto,8,Validation,6.75,6.0,-0.3,1.1
Almond,Genco Taronto,9,Calibration,6.75,3.7,-0.2,1.8
Almond,Genco Taronto,9,Validation,6.75,11.1,0.4,0.6
Almond,Genco Taronto,10,Calibration,6.75,4.3,-0.9,1.6
Almond,Genco Taronto,10,Validation,6.75,10.0,3.2,0.7
Almond,Khoukhi,1,Calibration,10,4.6,-0.1,2.2
Almond,Khoukhi,1,Validation,10,3.0,-1.6,3.4
Almond,Khoukhi,2,Calibration,10,5.4,-0.1,1.9
Almond,Khoukhi,2,Validation,10,5.4,-4.3,1.9
Almond,Khoukhi,3,Calibration,10,4.6,-0.1,2.2
Almond,Khoukhi,3,Validation,10,3.9,-3.1,2.5
Almond,Khoukhi,4,Calibration,10,3.5,0.1,2.9
Almond,Khoukhi,4,Validation,10,8.2,5.1,1.2
Almond,Khoukhi,5,Calibration,10,4.7,0.1,2.1
Almond,Khoukhi,5,Validation,10,4.1,-2.4,2.5
Almond,Khoukhi,6,Calibration,10,3.2,0.3,3.1
Almond,Khoukhi,6,Validation,10,9.0,3.8,1.1
Almond,Khoukhi,7,Calibration,10,4.8,0.6,2.1
Almond,Khoukhi,7,Validation,10,9.6,3.3,1.0
Almond,Khoukhi,8,Calibration,10,4.5,0.0,2.2
Almond,Khoukhi,8,Validation,10,2.6,-2.0,3.8
Almond,Khoukhi,9,Calibration,10,3.7,0.2,2.7
Almond,Khoukhi,9,Validation,10,11.2,6.6,0.9
Almond,Khoukhi,10,Calibration,10,4.8,0.7,2.1
Almond,Khoukhi,10,Validation,10,9.6,5.7,1.0
Almond,Ksontini,1,Calibration,10,6.3,-0.3,1.6
Almond,Ksontini,1,Validation,10,11.7,-2.4,0.9
Almond,Ksontini,2,Calibration,10,5.6,0.6,1.8
Almond,Ksontini,2,Validation,10,11.3,4.2,0.9
Almond,Ksontini,3,Calibration,10,8.4,0.0,1.2
Almond,Ksontini,3,Validation,10,7.4,1.5,1.4
Almond,Ksontini,4,Calibration,10,4.2,0.1,2.4
Almond,Ksontini,4,Validation,10,15.5,-4.1,0.6
Almond,Ksontini,5,Calibration,10,7.8,0.5,1.3
Almond,Ksontini,5,Validation,10,8.6,-4.8,1.2
Almond,Ksontini,6,Calibration,10,4.2,0.3,2.4
Almond,Ksontini,6,Validation,10,14.7,-3.6,0.7
Almond,Ksontini,7,Calibration,10,5.6,0.5,1.8
Almond,Ksontini,7,Validation,10,10.6,1.3,0.9
Almond,Ksontini,8,Calibration,10,5.5,0.2,1.8
Almond,Ksontini,8,Validation,10,16.1,-8.9,0.6
Almond,Ksontini,9,Calibration,10,6.5,0.2,1.5
Almond,Ksontini,9,Validation,10,8.9,5.6,1.1
Almond,Ksontini,10,Calibration,10,6.7,0.2,1.5
Almond,Ksontini,10,Validation,10,7.8,1.4,1.3
Almond,Languedoc,1,Calibration,12.25,6.1,0.3,2.0
Almond,Languedoc,1,Validation,12.25,9.6,-3.5,1.3
Almond,Languedoc,2,Calibration,12.25,6.3,0.4,1.9
Almond,Languedoc,2,Validation,12.25,6.1,-3.0,2.0
Almond,Languedoc,3,Calibration,12.25,6.2,0.0,2.0
Almond,Languedoc,3,Validation,12.25,8.4,-4.8,1.5
Almond,Languedoc,4,Calibration,12.25,5.4,0.1,2.3
Almond,Languedoc,4,Validation,12.25,8.4,-3.3,1.5
Almond,Languedoc,5,Calibration,12.25,6.5,0.3,1.9
Almond,Languedoc,5,Validation,12.25,12.7,3.6,1.0
Almond,Languedoc,6,Calibration,12.25,5.8,0.2,2.1
Almond,Languedoc,6,Validation,12.25,8.1,-3.7,1.5
Almond,Languedoc,7,Calibration,12.25,4.5,-0.8,2.7
Almond,Languedoc,7,Validation,12.25,10.3,5.7,1.2
Almond,Languedoc,8,Calibration,12.25,6.2,-0.1,2.0
Almond,Languedoc,8,Validation,12.25,8.4,3.3,1.5
Almond,Languedoc,9,Calibration,12.25,5.4,-0.6,2.3
Almond,Languedoc,9,Validation,12.25,6.4,-1.9,1.9
Almond,Languedoc,10,Calibration,12.25,3.4,0.2,3.6
Almond,Languedoc,10,Validation,12.25,10.8,2.4,1.1
Almond,Malaguena,1,Calibration,9.25,7.1,0.3,1.3
